"Id","TotalComment","ViewCount"
6560,38,NA
6565,54,3448
6574,9,1582
6581,23,NA
6588,22,NA
6601,8,NA
6605,9,NA
6627,14,NA
6630,12,NA
6654,25,NA
6658,13,NA
6663,9,NA
6680,6,NA
6692,7,NA
6695,10,NA
6697,21,NA
6728,7,NA
6732,8,708
6736,22,NA
6737,11,NA
6753,25,NA
6754,12,NA
6762,10,NA
6764,20,NA
6782,13,1522
6784,17,NA
6788,15,NA
6790,15,NA
6800,5,NA
6804,5,NA
6810,14,1933
6812,7,2479
6814,40,NA
6817,22,524
6826,6,NA
6827,59,7281
6831,9,NA
6844,12,NA
6863,6,NA
6880,17,NA
6882,16,NA
6898,37,NA
6928,15,NA
6936,6,1772
6940,7,NA
6941,6,66314
6946,6,NA
6953,12,NA
6979,32,NA
6985,9,NA
6999,18,NA
7010,25,NA
7030,18,NA
7034,6,NA
7037,15,NA
7044,24,NA
7052,30,NA
7064,23,NA
7074,17,NA
7078,11,NA
7084,7,NA
7089,69,NA
7100,27,NA
7116,22,NA
7128,18,NA
7130,27,570
7131,15,NA
7140,9,154
7141,6,NA
7152,9,NA
7154,29,NA
7160,16,NA
7173,6,NA
7181,9,2262
7185,18,NA
7187,12,NA
7193,26,NA
7207,15,NA
7225,19,480
7240,3,NA
7245,12,NA
7246,10,NA
7252,11,NA
7258,33,NA
7265,11,NA
7266,46,NA
7273,18,NA
7275,19,NA
7289,17,7599
7300,9,NA
7305,19,NA
7310,9,NA
7315,25,NA
7331,16,NA
7337,65,1886
7349,33,NA
7350,14,NA
8375,8,NA
8377,16,NA
8380,11,8653
8387,25,NA
8391,8,NA
8396,3,NA
8401,14,NA
8408,4,5283
8427,19,NA
8433,7,NA
8440,9,NA
8444,6,NA
8453,11,669
8457,7,NA
8473,41,NA
8478,12,NA
8501,10,NA
8503,4,NA
8515,5,NA
8522,5,NA
8523,35,NA
8529,57,NA
8534,1,NA
8557,4,NA
8574,18,NA
8584,14,NA
8587,18,4406
8589,11,NA
8604,9,NA
8615,4,NA
8629,19,NA
8635,53,1060
8642,19,NA
8647,15,NA
8654,15,NA
8662,3,1018
8665,43,NA
8670,7,NA
8694,28,NA
8697,11,NA
8699,4,NA
8711,25,NA
8719,6,NA
8720,18,NA
8724,13,NA
8738,22,NA
8759,41,NA
8767,4,NA
8772,18,19050
8774,11,NA
8777,5,NA
8780,2,NA
8789,5,NA
8800,15,5616
8809,22,250
8820,56,NA
8824,58,NA
8833,2,NA
8845,10,NA
8867,9,NA
8868,11,NA
8891,5,NA
8895,6,NA
8900,16,1925
8903,20,NA
8916,38,NA
8938,7,NA
8947,19,NA
8949,18,NA
8964,6,NA
8970,5,NA
8974,9,NA
8982,62,NA
8994,41,NA
9013,12,476
9016,26,NA
9040,24,NA
9042,28,NA
9051,26,NA
9060,10,NA
9073,7,NA
9090,11,NA
9103,46,NA
9117,9,4926
9120,6,NA
9124,1,NA
9125,19,NA
9131,6,NA
9139,10,NA
9159,19,NA
9160,13,NA
9167,6,NA
9187,10,NA
9191,23,NA
9195,13,NA
9202,33,NA
9216,34,NA
9227,5,NA
9229,11,NA
9232,18,450
9235,17,NA
9241,8,NA
9255,34,NA
9259,23,NA
9267,21,NA
9286,9,NA
9297,6,NA
9309,78,NA
9313,50,NA
9332,3,NA
9341,15,NA
9343,12,NA
9354,24,NA
9377,4,750
9398,9,NA
9404,11,NA
9422,15,NA
9426,26,NA
9433,12,NA
9446,9,NA
9450,20,NA
9455,31,NA
9461,18,NA
9467,30,NA
9473,22,NA
9478,58,NA
9506,5,NA
9513,54,153
9525,12,NA
9531,7,NA
9533,25,NA
9540,16,2555
9557,49,NA
9581,74,NA
9593,26,834
9595,38,NA
9615,16,NA
9632,17,NA
9640,10,NA
9645,12,NA
9660,13,NA
