"Id","TotalComment","ViewCount"
6948,6,2706
6950,16,617
6961,15,14211
6962,33,431
6963,12,629
6965,1,249
6970,6,11073
6974,3,2046
6975,5,2435
6984,11,4904
6994,29,34087
6997,5,177
7010,8,1695
7013,2,3438
7017,4,11519
7021,5,390
7023,7,385
7029,7,736
7035,6,2038
7036,5,186
7037,5,243
7042,7,181
7044,11,18021
7059,12,343
7064,12,402
7076,18,1714
7078,4,4344
7080,8,13878
7088,8,1984
7096,2,901
7097,8,3547
7108,17,7773
7113,3,1526
7116,17,17162
7120,9,2334
7131,9,219
7134,5,37744
7137,7,7885
7138,5,535
7139,15,254
7141,17,3012
7146,12,375
7150,3,728
7158,7,8564
7161,18,493
7168,21,9267
7171,9,4810
7172,8,11635
7179,2,442
7185,3,1145
7186,9,176
7190,16,1315
7195,3,3850
7196,11,389
7197,3,104
7207,2,1581
7210,4,373
7217,4,10249
7221,18,1372
7223,10,1440
7225,9,1369
7226,6,89
7235,13,2830
7237,3,4493
7240,15,642
7241,4,3069
7242,4,607
7244,14,4956
7250,6,311
7254,7,433
7257,10,694
7258,32,355
7259,13,984
7261,16,25119
7269,1,10008
7277,13,20393
7279,5,501
7280,14,905
7285,12,3689
7294,7,122
7297,26,20399
7301,1,2080
7307,9,5681
7309,26,47593
7319,9,1265
7321,6,2537
7322,6,397
7324,1,812
7326,4,360
7328,7,7318
7329,6,133
7332,2,241
7339,7,160
7347,8,379
7354,12,307
7358,9,1176
7360,2,314
7364,3,834
7371,14,2882
7374,23,3777
7377,9,644
7378,9,227
7380,10,325
7384,8,10779
7390,20,1585
7392,48,3422
7396,5,335
7398,17,23666
7404,20,1119
7410,3,323
7413,18,1059
7427,4,1168
7428,5,2541
7435,10,1726
7437,6,48845
7439,5,1317
7441,3,1438
7443,5,6250
7444,7,665
7445,10,305
7452,12,4068
7455,3,167
7462,11,106
7465,9,513
7469,1,429
7472,4,1587
7484,21,23183
7486,17,3213
7493,3,3229
7498,3,533
7504,10,2343
7507,30,1305
7510,15,6432
7517,7,1565
7520,2,191
7523,4,3686
7525,10,1117
7526,3,18175
7533,21,115458
7536,12,736
7538,21,7873
7539,4,246
7543,5,16856
7547,6,693
7548,15,208
7551,18,555
7553,6,4062
7554,2,1929
7558,25,13219
7559,10,1021
7566,5,15801
7574,9,162
7579,15,230
7582,10,2738
7585,1,95
7586,4,197
7588,28,6839
7591,9,423
7605,2,6787
7606,8,2953
7612,11,257
7623,20,875
7624,5,264
7629,4,274
7630,12,3070
7642,17,40021
7643,2,1629
7644,7,293
7660,16,8679
7665,5,3309
7675,23,5663
7676,25,15602
7678,10,3200
7679,8,3371
7693,1,935
7695,16,2234
7696,12,357
7697,10,2510
7704,9,209
7705,9,141
7711,1,138
7713,6,4220
7718,5,285
7719,10,3266
7723,2,38
7727,35,1730
7729,5,892
7735,8,435
7739,4,1044
