"Id","TotalComment","ViewCount"
8070,16,6767
8085,6,1157
8091,8,1197
8094,9,790
8095,15,15850
8107,9,792
8118,21,9602
8123,51,4841
8129,9,1276
8130,5,2819
8162,1,321
8172,6,576
8176,5,1960
8181,3,1609
8184,4,261
8188,7,2076
8190,13,1689
8197,2,796
8199,20,2298
8212,28,2014
8214,4,319
8224,2,954
8227,13,1731
8232,1,287
8236,6,11138
8243,32,9220
8247,12,6349
8248,6,476
8250,12,677
8267,11,1439
8270,11,2272
8281,8,8783
8285,7,1868
8296,21,10805
8301,13,2287
8303,13,1567
8312,8,901
8314,26,4584
8330,5,983
8334,35,12384
8360,5,1489
8375,8,1888
8376,6,206
8377,16,4369
8380,11,431
8387,25,3721
8391,8,859
8396,3,1516
8401,14,1242
8408,4,134
8410,4,869
8422,10,2365
8427,19,2288
8433,7,325
8437,17,3777
8440,9,4444
8444,6,343
8448,38,13961
8453,11,188
8457,7,355
8467,12,2519
8473,41,9563
8478,12,774
8501,10,1462
8503,4,652
8515,5,304
8522,5,878
8523,35,20064
8529,57,22231
8534,1,250
8536,16,3154
8557,4,2853
8574,18,5590
8584,14,3377
8587,18,574
8588,9,897
8589,11,1217
8604,9,777
8615,4,721
8629,19,11496
8635,53,28667
8642,19,1208
8647,15,1347
8654,15,6524
8662,3,226
8665,43,12599
8670,7,785
8694,28,9959
8697,11,570
8699,4,576
8711,25,32946
8719,6,1027
8720,18,1450
8724,13,1952
8738,22,2127
8759,41,35146
8767,4,344
8772,18,1313
8774,11,976
8777,5,288
8780,2,764
8789,5,533
8800,15,1638
8809,22,373
8820,56,12976
8824,58,16409
8833,2,144
8845,10,5602
8867,9,1130
8868,11,425
8891,5,326
8895,6,171
8900,16,21428
8903,20,22949
8916,38,9700
8938,7,2151
8947,19,7971
8949,18,841
8964,6,648
8970,5,1448
8974,9,427
8982,62,10969
8989,27,469
8994,41,32784
9013,12,397
9016,26,17129
9036,16,1138
9040,24,11072
9042,28,29016
9051,26,5444
9060,10,3851
9073,7,3659
9074,13,836
9090,11,1114
9103,46,19558
9117,9,1483
9120,6,395
9124,1,391
9125,19,351
9131,6,1131
9139,10,525
9159,19,209
9160,13,1674
9162,22,9757
9167,6,210
9187,10,858
9191,23,4661
9195,13,555
9197,4,444
9202,33,22642
9216,34,9492
9224,13,7806
9227,5,449
9229,11,2180
9232,18,2029
9235,17,1119
9241,8,303
9255,34,35826
9259,23,1009
9267,21,8493
9286,9,1408
9297,6,605
9309,78,35898
9313,50,8173
9332,3,250
9341,15,1407
9343,12,3107
9354,24,9115
9361,4,1291
9377,4,386
9393,53,12867
9398,9,1787
9404,11,865
9422,15,2196
9426,26,5590
9433,12,3822
9446,9,769
9450,20,14259
9455,31,13450
9461,18,7961
9467,30,19963
9473,22,1307
9478,58,19496
9506,5,855
9513,54,21723
9525,12,592
9531,7,434
9533,25,6764
9540,16,6072
9557,49,26544
9581,74,13083
9593,26,8830
9595,38,9009
9615,16,1323
9632,17,500
9640,10,1393
9645,12,1498
9660,13,459
9673,5,1998
9693,24,14822
9696,8,1189
9698,4,374
9702,36,5893
9705,33,9719
9708,22,11915
9727,15,655
9739,36,20333
9744,5,1700
9750,15,1150
9755,8,5873
9765,59,7211
9768,6,1621
9773,6,744
9778,12,1476
9779,2,289
9780,10,1083
9782,28,16012
9798,49,26422
9830,14,1104
9835,19,11822
9841,9,828
9847,18,603
9852,88,19437
9862,23,2042
9886,27,833
9887,28,5621
9909,47,11525
9915,44,8987
9932,34,25049
9933,40,5274
9939,31,5935
9953,34,25397
9967,17,14201
9985,11,2158
10002,3,2075
10016,8,285
10023,13,4337
10030,34,1348
10039,20,3292
10049,7,734
10064,7,237
10067,4,897
10073,6,772
10076,14,1141
10083,2,494
10085,5,670
10089,7,850
10092,5,1595
10096,3,503
10098,1,191
10100,15,2357
10102,12,11961
10115,17,742
10122,42,5272
10130,7,520
10138,9,320
10139,9,698
10140,9,2085
10148,10,1089
10149,23,11033
10151,11,2212
10153,24,17716
10157,9,1032
10168,28,21182
10176,46,22367
10182,35,18196
10190,60,16810
10206,39,30798
10228,14,672
10234,7,321
10239,72,24498
10248,14,676
10263,4,413
10264,20,858
10271,11,1892
10276,11,676
10277,7,1677
10295,12,8599
10300,4,306
10327,4,1081
10332,4,567
10333,10,1375
10339,19,1476
10342,12,2692
10345,3,404
10349,12,1322
10352,9,921
10362,4,6551
10377,16,1525
10385,30,704
10389,10,1170
10394,36,2031
10399,19,1005
10402,12,823
10411,13,771
10420,13,7099
10428,31,22482
10435,18,2255
10440,22,10045
10454,6,1086
10471,9,483
10479,19,1589
10486,17,11496
10491,6,426
10493,13,351
10500,38,25508
10506,22,824
10516,25,9512
10534,10,1532
10537,17,1349
10545,13,7404
10551,48,20211
10561,5,289
10563,21,3950
10569,9,2645
10570,12,2886
10584,12,376
10585,12,1750
10589,12,814
10619,21,1123
10621,21,9942
10641,40,18193
10654,42,35289
10669,7,927
10676,19,795
10683,6,3684
10689,40,9194
10700,8,503
10711,3,378
10712,35,5563
10718,23,8573
10722,28,2581
10724,43,10939
10729,48,15886
10737,5,345
10750,8,764
10756,67,24887
10776,23,824
10782,14,5042
10783,4,1989
10787,5,346
10799,36,15649
10807,18,1352
10808,21,2377
10831,25,4826
10836,6,727
10842,35,8936
10846,17,5183
10875,28,1941
10884,11,755
10886,28,11890
