	Id	TotalCm	ViewCount
344	1504	6.0	334.0
345	1507	7.0	1259.0
346	1509	10.0	23641.0
347	1515	7.0	37075.0
348	1525	12.0	299.0
349	1531	28.0	23862.0
350	1538	11.0	2041.0
351	1543	10.0	570.0
352	1546	3.0	4514.0
353	1547	10.0	2419.0
354	1551	3.0	4326.0
355	1558	31.0	2183.0
356	1559	2.0	261.0
357	1565	6.0	378.0
358	1571	3.0	792.0
359	1574	8.0	5006.0
360	1579	6.0	432.0
361	1587	26.0	88922.0
362	1591	11.0	10210.0
363	1592	2.0	139.0
364	1593	1.0	273.0
365	1595	7.0	111.0
366	1602	2.0	1078.0
367	1603	8.0	996.0
368	1606	4.0	2330.0
369	1615	10.0	990.0
370	1617	6.0	15140.0
371	1623	13.0	1594.0
372	1627	7.0	6367.0
373	1631	15.0	73314.0
374	1649	9.0	1170.0
375	1650	6.0	576.0
376	1660	10.0	22774.0
377	1662	11.0	55154.0
378	1664	15.0	16255.0
379	1666	6.0	446.0
380	1671	23.0	11004.0
381	1683	1.0	14279.0
382	1684	4.0	12737.0
383	1689	3.0	1044.0
384	1691	2.0	158.0
385	1696	15.0	940.0
386	1701	10.0	272.0
387	1707	4.0	2284.0
388	1710	18.0	5438.0
389	1711	7.0	1950.0
390	1716	9.0	9981.0
391	1717	6.0	2693.0
392	1721	3.0	1325.0
393	1726	7.0	3010.0
394	1727	3.0	272.0
395	1731	13.0	179350.0
396	1742	19.0	1866.0
397	1747	4.0	229.0
398	1750	9.0	1177.0
399	1752	9.0	4039.0
400	1753	15.0	81912.0
401	1757	7.0	662.0
402	1762	6.0	9092.0
403	1764	6.0	1769.0
404	1779	20.0	6486.0
405	1783	4.0	20486.0
406	1786	5.0	1077.0
407	1789	5.0	676.0
408	1797	4.0	3246.0
409	1799	5.0	409.0
410	1804	5.0	500.0
411	1807	5.0	674.0
412	1808	10.0	20578.0
413	1811	3.0	3103.0
414	1812	6.0	89.0
415	1813	25.0	15650.0
416	1814	3.0	4600.0
417	1815	6.0	623.0
418	1822	7.0	506.0
419	1823	14.0	519.0
420	1829	9.0	396.0
421	1833	9.0	4624.0
422	1834	1.0	181.0
423	1836	1.0	309.0
424	1840	7.0	309.0
425	1842	10.0	796.0
426	1848	26.0	791.0
427	1851	9.0	341.0
428	1852	11.0	1813.0
429	1856	13.0	354.0
430	1857	19.0	2236.0
431	1860	11.0	624.0
432	1862	5.0	27917.0
433	1868	3.0	470.0
434	1874	8.0	472.0
435	1876	17.0	3116.0
436	1878	12.0	3176.0
437	1892	9.0	329.0
438	1895	10.0	1446.0
439	1896	3.0	1063.0
440	1902	5.0	2110.0
441	1904	10.0	6166.0
442	1907	5.0	14509.0
443	1909	15.0	6105.0
444	1914	3.0	269.0
445	1920	1.0	658.0
446	1923	6.0	1006.0
447	1929	3.0	681.0
448	1931	5.0	2655.0
449	1934	12.0	839.0
450	1942	13.0	621.0
451	1943	3.0	321.0
452	1961	10.0	236.0
453	1963	12.0	45479.0
454	1965	3.0	1180.0
455	1968	3.0	731.0
456	1972	5.0	11179.0
457	1975	6.0	482.0
458	1976	10.0	82871.0
459	1977	7.0	2374.0
460	1984	20.0	7930.0
461	1988	10.0	540.0
462	1990	3.0	7812.0
463	1993	2.0	288.0
464	1997	2.0	1318.0
465	2001	7.0	812.0
466	2002	5.0	3744.0
467	2005	2.0	55439.0
468	2009	1.0	1149.0
469	2010	13.0	6784.0
470	2011	4.0	510.0
471	2014	3.0	1479.0
472	2015	6.0	6663.0
473	2017	23.0	53206.0
474	2021	8.0	7608.0
475	2022	2.0	376.0
476	2028	11.0	12640.0
477	2040	6.0	11700.0
478	2044	59.0	6007.0
479	2052	6.0	859.0
480	2055	4.0	288.0
481	2062	6.0	24752.0
482	2064	3.0	894.0
483	2067	2.0	9460.0
484	2069	6.0	2046.0
485	2077	11.0	331.0
486	2081	7.0	38654.0
487	2086	3.0	417.0
488	2090	5.0	141.0
489	2094	5.0	1632.0
490	2095	6.0	1179.0
491	2096	9.0	443.0
492	2110	18.0	124471.0
493	2113	2.0	1749.0
494	2120	2.0	583.0
495	2124	8.0	226.0
496	2127	13.0	7959.0
497	2130	3.0	137.0
498	2132	12.0	2104.0
499	2133	7.0	252.0
500	2135	3.0	20224.0
501	2136	2.0	288.0
502	2137	1.0	355.0
503	2141	3.0	916.0
504	2151	4.0	566.0
505	2154	7.0	10722.0
506	2155	2.0	800.0
507	2156	4.0	236.0
508	2161	7.0	523.0
509	2163	6.0	10683.0
510	2164	27.0	101860.0
511	2167	4.0	1009.0
512	2169	13.0	6156.0
513	2170	3.0	1355.0
514	2174	2.0	308.0
515	2176	5.0	261.0
516	2184	6.0	2725.0
517	2187	8.0	4499.0
518	2191	7.0	3166.0
519	2194	7.0	2435.0
520	2195	14.0	2179.0
