	Id	TotalCm	ViewCount
574	4315	2	387.0
575	4328	6	808.0
576	4334	33	3911.0
577	4346	11	1475.0
578	4350	74	25870.0
579	4365	29	3342.0
580	4372	4	2665.0
581	4378	12	1447.0
582	4381	4	474.0
583	4383	9	1333.0
584	4386	21	6489.0
585	4401	25	3834.0
586	4407	61	10749.0
587	4425	61	21095.0
588	4443	19	2098.0
589	4451	46	10815.0
590	4480	9	3096.0
591	4492	8	336.0
592	4498	20	2885.0
593	4504	20	3616.0
594	4521	18	1354.0
595	4536	15	1458.0
596	4540	15	1462.0
597	4545	9	693.0
598	4573	19	7689.0
599	4592	27	6692.0
600	4610	73	26418.0
601	4618	27	4288.0
602	4632	47	11916.0
603	4639	1	334.0
604	4661	16	6042.0
605	4664	4	1449.0
606	4669	8	2772.0
607	4670	59	11781.0
608	4672	43	1295.0
609	4687	12	883.0
610	4703	28	4846.0
611	4709	11	628.0
612	4716	5	651.0
613	4728	80	14087.0
614	4734	45	20039.0
615	4769	4	2398.0
616	4772	11	459.0
617	4773	11	2992.0
618	4776	53	2340.0
619	4792	4	448.0
620	4796	5	602.0
621	4797	14	992.0
622	4804	40	13892.0
623	4811	15	1250.0
624	4812	20	12221.0
625	4815	15	5679.0
626	4842	102	32228.0
627	4852	20	2166.0
628	4872	48	14326.0
629	4918	21	8986.0
630	4920	25	3453.0
631	4937	16	2756.0
632	4949	15	2327.0
633	4951	44	15474.0
634	4961	12	635.0
635	4972	67	30621.0
636	4991	13	485.0
637	4992	14	3792.0
638	4996	48	16555.0
639	5004	7	2090.0
640	5020	14	2120.0
641	5032	39	8673.0
642	5036	14	5790.0
643	5045	20	3631.0
644	5050	43	19248.0
645	5060	15	1899.0
646	5065	41	9175.0
647	5092	8	217.0
648	5101	8	4583.0
649	5103	9	582.0
650	5116	15	467.0
651	5117	45	16187.0
652	5141	17	2274.0
653	5143	30	4771.0
654	5149	21	4386.0
655	5164	17	1299.0
656	5171	24	23195.0
657	5174	53	16155.0
658	5199	8	1320.0
659	5203	68	23022.0
660	5216	10	2595.0
661	5220	28	12323.0
662	5222	50	7817.0
663	5236	33	12612.0
664	5247	46	13747.0
665	5269	20	605.0
666	5274	41	12452.0
667	5286	15	4908.0
668	5306	34	5193.0
669	5307	20	1766.0
670	5314	17	615.0
671	5315	29	6545.0
672	5326	53	13666.0
673	5346	8	293.0
674	5347	5	386.0
675	5352	17	2900.0
676	5362	25	5183.0
677	5367	25	3125.0
678	5382	10	455.0
679	5388	16	9882.0
680	5391	35	7743.0
681	5398	37	3705.0
682	5420	18	12649.0
683	5421	34	22117.0
684	5435	33	9858.0
685	5443	7	4155.0
686	5467	11	693.0
687	5481	39	3758.0
688	5488	15	3769.0
689	5492	14	1535.0
690	5502	79	30162.0
691	5504	34	8509.0
692	5505	5	327.0
693	5514	27	10825.0
694	5515	96	31387.0
695	5532	13	942.0
696	5536	11	1410.0
697	5543	30	19619.0
698	5546	4	326.0
699	5553	39	8945.0
700	5560	46	12087.0
701	5564	6	8943.0
702	5571	10	1952.0
703	5638	12	535.0
704	5639	7	3476.0
705	5661	10	1202.0
706	5668	4	442.0
707	5682	8	753.0
708	5683	41	30745.0
709	5692	1	316.0
710	5703	18	2014.0
711	5707	6	1094.0
712	5710	5	2117.0
713	5711	4	20744.0
714	5716	13	10839.0
715	5727	12	1389.0
716	5737	28	1020.0
717	5751	10	1373.0
718	5759	41	35559.0
719	5765	4	426.0
720	5773	28	3474.0
721	5781	30	1295.0
722	5798	17	4133.0
723	5804	40	14579.0
724	5826	17	9888.0
725	5831	8	441.0
726	5835	32	1733.0
727	5847	8	916.0
728	5850	15	2024.0
729	5860	45	19828.0
730	5873	27	11721.0
731	5884	5	2053.0
732	5891	5	521.0
733	5894	31	8518.0
734	5900	43	14432.0
735	5907	6	1892.0
736	5921	23	6146.0
737	5930	9	2555.0
738	5931	27	3144.0
739	5945	4	1548.0
740	5951	19	6817.0
741	5966	15	660.0
742	5967	14	14224.0
743	5971	9	1613.0
744	5977	28	1542.0
745	5978	8	821.0
746	5993	41	8837.0
747	5996	32	17336.0
748	6005	32	10515.0
749	6011	17	1375.0
750	6020	16	616.0
751	6030	27	6121.0
752	6036	22	17873.0
753	6046	21	26028.0
754	6054	13	449.0
755	6069	5	315.0
756	6080	35	46050.0
757	6092	4	321.0
758	6109	16	1531.0
759	6112	5	343.0
760	6113	20	15482.0
761	6127	27	2788.0
762	6132	9	1000.0
763	6136	7	4643.0
764	6147	2	655.0
765	6153	13	1766.0
766	6160	14	1451.0
767	6162	18	27358.0
768	6164	30	10748.0
769	6166	6	2052.0
770	6181	4	226.0
771	6191	10	472.0
772	6202	31	2973.0
773	6206	7	272.0
774	6208	4	682.0
775	6214	12	1584.0
776	6217	6	4121.0
777	6243	3	643.0
778	6245	6	6076.0
779	6254	11	2645.0
780	6260	15	3309.0
781	6261	5	595.0
782	6266	7	935.0
783	6272	6	152.0
784	6275	4	379.0
785	6276	17	2080.0
786	6277	9	535.0
787	6286	5	165.0
788	6287	17	2180.0
789	6298	16	1463.0
790	6311	16	516.0
791	6320	16	1921.0
792	6321	1	1042.0
793	6326	46	36766.0
794	6333	15	466.0
795	6341	18	5071.0
796	6356	13	1358.0
797	6363	5	1304.0
798	6371	19	788.0
799	6375	41	9968.0
800	6385	9	435.0
801	6389	13	11626.0
802	6392	16	653.0
803	6396	11	9008.0
804	6398	47	16910.0
805	6422	17	2254.0
806	6423	22	784.0
807	6432	2	407.0
808	6436	20	1200.0
809	6449	38	38126.0
810	6456	46	19453.0
811	6476	5	875.0
812	6481	30	8696.0
813	6487	30	1987.0
814	6488	8	410.0
815	6505	35	5679.0
816	6523	6	510.0
817	6533	44	18455.0
818	6541	7	497.0
819	6550	9	438.0
820	6560	38	12443.0
821	6565	54	12375.0
822	6574	9	684.0
823	6581	23	3076.0
824	6588	22	30867.0
825	6601	8	3249.0
826	6605	9	246.0
827	6627	14	4639.0
828	6630	12	4080.0
829	6654	25	4202.0
830	6658	13	713.0
831	6663	9	828.0
832	6680	6	3136.0
833	6692	7	398.0
834	6695	10	2673.0
835	6697	21	20253.0
836	6728	7	353.0
837	6732	8	833.0
838	6736	22	1108.0
839	6737	11	578.0
840	6753	25	13364.0
841	6754	12	556.0
842	6762	10	867.0
843	6764	20	8492.0
844	6782	13	1082.0
845	6784	17	14502.0
846	6788	15	3276.0
847	6790	15	2247.0
